,chart_no,song,artist
0,1,Last Night,Morgan Wallen
1,2,Kill Bill,SZA
2,3,Flowers,Miley Cyrus
3,4,Ella Baila Sola,Eslabon Armado X Peso Pluma
4,5,Un x100to,Grupo Frontera X Bad Bunny
5,6,Calm Down,Rema & Selena Gomez
6,7,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
7,8,Die For You,The Weeknd & Ariana Grande
8,9,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
9,10,Anti-Hero,Taylor Swift
10,11,La Bebe,Yng Lvcas x Peso Pluma
11,12,Search & Rescue,Drake
12,13,Favorite Song,Toosii
13,14,Fast Car,Luke Combs
14,15,Sure Thing,Miguel
15,16,Players,Coi Leray
16,17,Rock And A Hard Place,Bailey Zimmerman
17,18,Double Fantasy,The Weeknd Featuring Future
18,19,You Proof,Morgan Wallen
19,20,As It Was,Harry Styles
20,21,Chemical,Post Malone
21,22,One Thing At A Time,Morgan Wallen
22,23,Thinkin' Bout Me,Morgan Wallen
23,24,Thought You Should Know,Morgan Wallen
24,25,I'm Good (Blue),David Guetta & Bebe Rexha
25,26,Something In The Orange,Zach Bryan
26,27,Thank God,Kane Brown With Katelyn Brown
27,28,Por Las Noches,Peso Pluma
28,29,Princess Diana,Ice Spice & Nicki Minaj
29,30,Escapism,RAYE Featuring 070 Shake
30,31,Under The Influence,Chris Brown
31,32,Dancin' In The Country,Tyler Hubbard
32,33,PRC,Peso Pluma X Natanael Cano
33,34,Slut Me Out,NLE Choppa
34,35,Lavender Haze,Taylor Swift
35,36,Handle On You,Parker McCollum
36,37,Unholy,Sam Smith & Kim Petras
37,38,Snooze,SZA
38,39,Just Wanna Rock,Lil Uzi Vert
39,40,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
40,41,Cupid,Fifty Fifty
41,42,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
42,43,TQG,Karol G x Shakira
43,44,Wait In The Truck,HARDY Featuring Lainey Wilson
44,45,Eyes Closed,Ed Sheeran
45,46,Spin Bout U,Drake & 21 Savage
46,47,Daylight,David Kushner
47,48,Rich Flex,Drake & 21 Savage
48,49,Love You Anyway,Luke Combs
49,50,Bebe Dame,Fuerza Regida X Grupo Frontera
50,51,Wild As Her,Corey Kent
51,52,See You Again,"Tyler, The Creator Featuring Kali Uchis"
52,53,Tennessee Orange,Megan Moroney
53,54,Next Thing You Know,Jordan Davis
54,55,Alone,Kim Petras Featuring Nicki Minaj
55,56,Chanel,Becky G & Peso Pluma
56,57,El Azul,Junior H x Peso Pluma
57,58,Haegeum,Agust D
58,59,Low Down,Lil Baby
59,60,Need A Favor,Jelly Roll
60,61,Bloody Mary,Lady Gaga
61,62,Peaches,Jack Black
62,63,Nonsense,Sabrina Carpenter
63,64,Ain't That Some,Morgan Wallen
64,65,Fight The Feeling,Rod Wave
65,66,Red Ruby Da Sleeze,Nicki Minaj
66,67,Beso,Rosalia & Rauw Alejandro
67,68,Ch y La Pizza,Fuerza Regida X Natanael Cano
68,69,Cowgirls,Morgan Wallen Featuring ERNEST
69,70,I Wrote The Book,Morgan Wallen
70,71,El Gordo Trae El Mando,Chino Pacas
71,72,Gold,Dierks Bentley
72,73,Man Made A Bar,Morgan Wallen Featuring Eric Church
73,74,Everything I Love,Morgan Wallen
74,75,Karma,Taylor Swift
75,76,ICU,Coco Jones
76,77,Que Vuelvas,Carin Leon X Grupo Frontera
77,78,Trance,"Metro Boomin, Travis Scott & Young Thug"
78,79,Yandel 150,Yandel & Feid
79,80,Igualito A Mi Apa,Fuerza Regida & Peso Pluma
80,81,In Ha Mood,Ice Spice
81,82,Fragil,Yahritza y Su Esencia x Grupo Frontera
82,83,Human,Cody Johnson
83,84,Painting Pictures,Superstar Pride
84,85,Never Felt So Alone,Labrinth
85,86,Dawns,Zach Bryan Featuring Maggie Rogers
86,87,Ceilings,Lizzy McAlpine
87,88,Memory Lane,Old Dominion
88,89,Di Que Si,Grupo Marca Registrada X Grupo Frontera
89,90,Strike (Holster),Lil Yachty
90,91,Happy,NF
91,92,Forever,Lil Baby Featuring Fridayy
92,93,Moonlight,Kali Uchis
93,94,Sunrise,Morgan Wallen
94,95,You Didn't,Brett Young
95,96,It Matters To Her,Scotty McCreery
96,97,Like Crazy,Jimin
97,98,All Of The Girls You Loved Before,Taylor Swift
98,99,5 Leaf Clover,Luke Combs
99,100,Big Truck,YoungBoy Never Broke Again
